frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
0	129	1	3.74639	3.66603	-0.488905	0.597187	-3.06193	-0.118478	-1.40618
0	123	0	3.8541	3.64773	1.21069	0.287045	1.34076	0.0655987	1.55941
0	8	0	1.9243	1.89152	0.351794	-0.036711	-0.293649	0.399366	-1.00891
0	9	0	1.84642	1.83375	0.169764	-0.133518	-0.652874	0.146915	-0.907137
0	11	0	1.80505	1.74038	0.449554	-0.164864	-0.287975	0.400126	-0.583232
0	10	0	1.85765	1.83421	0.0253751	-0.293076	-0.992444	-0.129625	-0.903971
0	13	0	1.95232	1.79295	0.709837	-0.304971	-0.173091	0.819954	-0.241111
0	14	0	1.78043	1.66275	0.533228	-0.347631	-0.285496	0.413436	-0.154891
0	15	0	1.71822	1.63299	0.335633	-0.415939	-0.352814	-0.0277423	-0.164625
0	17	0	1.86788	1.68262	0.590236	-0.556235	-0.290271	0.412231	0.2729
0	20	0	2.03489	1.79051	0.60854	-0.751336	-0.299183	0.40295	0.717117
0	22	0	1.91709	1.75668	0.18634	-0.744686	0.243969	-0.2667	0.689441
0	21	0	1.94919	1.74177	0.40007	-0.778146	-0.0170584	0.0608345	0.657126
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
1	129	1	3.74894	3.66852	-0.489259	0.597643	-3.06303	-0.122164	-1.40645
1	123	0	3.85283	3.64651	1.21032	0.286984	1.34064	0.0672508	1.56
1	8	0	1.92299	1.89018	0.351819	-0.0365691	-0.292877	0.398974	-1.00911
1	9	0	1.84486	1.8322	0.169712	-0.133329	-0.652693	0.146146	-0.907878
1	11	0	1.80351	1.73884	0.449378	-0.164747	-0.28785	0.398776	-0.584594
1	10	0	1.85769	1.83425	0.0253827	-0.293066	-0.992336	-0.129497	-0.90392
1	13	1	1.94968	1.79043	0.709045	-0.304701	-0.172475	0.822466	-0.235807
1	14	0	1.77929	1.66161	0.533039	-0.347531	-0.285573	0.412518	-0.154882
1	15	0	1.71847	1.6332	0.335669	-0.416089	-0.353313	-0.0342497	-0.169639
1	17	0	1.8663	1.68109	0.58984	-0.555957	-0.290213	0.411893	0.27335
1	22	0	1.91645	1.75608	0.186225	-0.744513	0.244952	-0.267226	0.690324
1	20	0	2.03285	1.78859	0.607983	-0.750867	-0.300142	0.40227	0.717866
1	21	0	1.94705	1.73979	0.399601	-0.777453	-0.0169657	0.0610709	0.65786
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2	129	1	3.74666	3.66628	-0.488986	0.597301	-3.06299	-0.120728	-1.40614
2	123	0	3.85098	3.64473	1.2098	0.286886	1.34086	0.0616886	1.56034
2	7	0	2.03273	1.96129	0.53383	-0.018642	0.160001	0.566557	-1.23581
2	8	0	1.92248	1.8896	0.352149	-0.0364724	-0.292402	0.39793	-1.00999
2	9	0	1.84443	1.83174	0.170014	-0.133175	-0.651337	0.146762	-0.90764
2	11	0	1.80309	1.73835	0.449614	-0.164642	-0.287566	0.399098	-0.584075
2	10	0	1.85823	1.83481	0.0257227	-0.292955	-0.990728	-0.12963	-0.903859
2	13	1	1.94938	1.79002	0.709332	-0.304594	-0.176459	0.821745	-0.231431
2	14	0	1.77963	1.66185	0.53343	-0.347554	-0.284524	0.411742	-0.155706
2	15	0	1.71743	1.63217	0.335705	-0.415783	-0.352382	-0.0309104	-0.163409
2	17	0	1.86733	1.68196	0.590356	-0.55624	-0.289784	0.411366	0.272931
2	20	0	2.02968	1.78577	0.607223	-0.749612	-0.299521	0.402566	0.718445
2	22	0	1.91636	1.75607	0.18635	-0.744266	0.245621	-0.266168	0.691092
2	21	0	1.94812	1.74074	0.399963	-0.777829	-0.0173022	0.0596604	0.657773
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
3	129	1	3.74778	3.66738	-0.489112	0.597434	-3.06363	-0.123806	-1.40614
3	123	0	3.85336	3.64698	1.2106	0.287111	1.34175	0.0628566	1.56012
