frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
0	129	1	3.76019	3.72782	-0.0342335	0.491122	-3.03559	0.0161117	-1.3882
0	123	0	3.82058	3.44675	1.64243	0.138489	1.37194	-0.00191351	1.69321
0	8	0	1.69752	1.47165	0.819997	-0.208429	0.125785	-0.121483	-1.0445
0	9	0	1.65307	1.51931	0.612144	-0.222697	-0.253911	-0.327729	-1.12405
0	10	0	1.72208	1.63243	0.446882	-0.317813	-0.695685	-0.488344	-1.29651
0	11	0	1.56675	1.31226	0.780488	-0.351435	0.13435	-0.123026	-0.624577
0	124	0	7.54922	6.59354	-3.12776	-1.93208	-3.05512	0.27439	0.84407
0	203	0	7.24278	6.45328	-2.6418	-1.95804	3.09297	0.207275	1.03914
0	15	0	1.50247	1.29898	0.541454	-0.526207	0.0398272	-0.576139	-0.171922
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
1	129	1	3.75945	3.72707	-0.0342002	0.491126	-3.03414	0.0219131	-1.388
1	123	0	3.82096	3.44708	1.6426	0.138509	1.37229	-0.00224587	1.69325
1	9	0	1.65126	1.51763	0.611352	-0.22293	-0.253393	-0.327281	-1.12267
1	8	0	1.69485	1.46927	0.818725	-0.208418	0.126634	-0.120627	-1.04419
1	10	0	1.71972	1.63016	0.446003	-0.317941	-0.694876	-0.487965	-1.29525
1	11	0	1.56559	1.31106	0.780038	-0.35175	0.133524	-0.122498	-0.624165
1	124	0	7.47242	6.5265	-3.09594	-1.91235	-3.07106	0.274192	0.865498
1	203	0	7.25429	6.46357	-2.64595	-1.96111	3.10038	0.215592	1.03703
1	15	0	1.5001	1.2966	0.540635	-0.52616	0.038104	-0.580121	-0.170139
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2	129	1	3.75973	3.72734	-0.0341083	0.491227	-3.03624	0.0208557	-1.38821
2	123	0	3.81825	3.44463	1.64148	0.138359	1.37202	-0.0017291	1.69292
2	8	0	1.69511	1.46937	0.818952	-0.208995	0.124724	-0.119945	-1.04267
2	9	0	1.65018	1.51658	0.61089	-0.223313	-0.254347	-0.324709	-1.12104
2	10	0	1.71998	1.63033	0.445899	-0.318626	-0.694976	-0.486464	-1.29284
2	11	0	1.5659	1.31107	0.780341	-0.352437	0.133316	-0.122504	-0.623104
2	124	0	7.50779	6.55742	-3.11054	-1.92138	-3.05986	0.278664	0.853743
2	203	0	7.19909	6.41441	-2.6258	-1.94614	3.09202	0.218596	1.04613
2	15	0	1.50002	1.29615	0.540711	-0.526962	0.0380149	-0.578148	-0.171955
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
3	129	1	3.75856	3.72618	-0.0340313	0.491086	-3.03706	0.0157216	-1.38811
3	123	0	3.81813	3.44452	1.64143	0.138353	1.37246	-0.00120352	1.69265
3	8	0	1.69356	1.46791	0.818346	-0.209101	0.124649	-0.118333	-1.04245
3	9	0	1.64826	1.51472	0.610253	-0.223559	-0.253746	-0.324178	-1.11935
3	10	0	1.71733	1.62776	0.445062	-0.318651	-0.695668	-0.488538	-1.29304
3	11	0	1.56341	1.30864	0.779419	-0.352448	0.133086	-0.12001	-0.624038
3	124	0	7.50636	6.55615	-3.10998	-1.92103	-3.06632	0.272498	0.855364
3	203	0	7.22462	6.43716	-2.6351	-1.95305	3.0956	0.217143	1.04157
3	15	0	1.49807	1.29405	0.540198	-0.527093	0.0381366	-0.577256	-0.166942
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
4	129	1	3.75975	3.72736	-0.0340219	0.49126	-3.03724	0.0193344	-1.3878
4	123	0	3.81827	3.44462	1.64152	0.138361	1.37264	-0.0013555	1.69261
4	8	0	1.6924	1.46677	0.817933	-0.209248	0.12442	-0.117021	-1.04196
4	9	0	1.64724	1.51369	0.60996	-0.223803	-0.253467	-0.324553	-1.11916
4	10	0	1.71759	1.62792	0.445061	-0.319253	-0.694132	-0.487553	-1.29024
4	11	0	1.56331	1.30826	0.779644	-0.35289	0.132248	-0.118691	-0.62225
4	124	0	7.51801	6.56632	-3.11481	-1.92399	-3.05914	0.277638	0.850986
4	203	0	7.25709	6.46608	-2.64696	-1.96184	3.09766	0.21101	1.03595
4	15	0	1.49891	1.2944	0.5408	-0.528009	0.0379303	-0.574167	-0.171245
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
5	129	1	3.76072	3.72833	-0.0340325	0.491389	-3.03724	0.0177707	-1.38774
5	123	0	3.82127	3.44732	1.64286	0.138476	1.37283	-0.00268391	1.69244
5	8	0	1.69147	1.46586	0.817624	-0.209321	0.124091	-0.116023	-1.04162
5	9	0	1.6465	1.51293	0.609786	-0.22401	-0.254283	-0.324093	-1.11868
5	10	0	1.71472	1.62512	0.444332	-0.319057	-0.695897	-0.487553	-1.29079
5	11	0	1.56105	1.30612	0.778799	-0.352699	0.132867	-0.117857	-0.622926
5	124	0	7.55783	6.6011	-3.13133	-1.93417	-3.05388	0.27436	0.840183
5	203	0	7.27308	6.48034	-2.65277	-1.96613	3.10355	0.216651	1.03289
5	15	0	1.49775	1.29305	0.540628	-0.528205	0.0374878	-0.573939	-0.169007
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
6	129	1	3.75884	3.72646	-0.0339541	0.491139	-3.0372	0.0153598	-1.38792
6	123	0	3.83001	3.45522	1.64654	0.139018	1.37614	-0.00770471	1.69145
6	8	0	1.69097	1.46528	0.817571	-0.209508	0.124226	-0.116341	-1.04147
6	9	0	1.6452	1.51165	0.609414	-0.224104	-0.255786	-0.324721	-1.11884
6	10	0	1.71371	1.62408	0.444098	-0.319282	-0.695377	-0.488084	-1.28915
6	11	0	1.56072	1.30561	0.778846	-0.353006	0.13261	-0.11788	-0.622081
6	124	0	7.51129	6.56046	-3.11205	-1.92225	-3.0607	0.276624	0.854354
6	203	0	7.28628	6.49213	-2.65755	-1.96964	3.10203	0.211489	1.0299
6	15	0	1.49746	1.29251	0.540785	-0.528527	0.0386489	-0.572683	-0.169416
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
7	129	1	3.75919	3.7268	-0.0339498	0.491192	-3.03753	0.0154985	-1.38796
7	123	0	3.83239	3.45737	1.64756	0.139159	1.37605	-0.00784975	1.69121
7	8	0	1.6887	1.46314	0.816739	-0.209405	0.124586	-0.11569	-1.04147
7	10	0	1.71264	1.623	0.44388	-0.319312	-0.694937	-0.48833	-1.28854
7	11	0	1.56072	1.30538	0.779154	-0.353201	0.132451	-0.117234	-0.622337
