detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
208	0	0.366824	0.336408	-0.138054	0.0482698	-2.61732	-0.550523	-0.0379243
204	0	0.832622	0.66752	0.492734	0.0699195	-2.35884	1.45765	-1.18361
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.36408	0.335025	-0.132129	0.0534267	-2.62713	-0.557678	-0.0891202
204	0	0.843156	0.670078	0.505327	0.0809451	3.08742	-0.218695	0.261595
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364156	0.335094	-0.132159	0.0534385	-2.62907	-0.556194	-0.0840403
204	0	0.844357	0.671057	0.506019	0.0810328	-2.16155	1.46639	-1.37526
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364274	0.335203	-0.132201	0.0534555	-2.62973	-0.557667	-0.078519
204	0	0.843616	0.670459	0.505588	0.0809506	-2.17037	1.46928	-1.35922
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363734	0.334687	-0.132027	0.0534437	-2.64583	-0.231281	0.18116
204	0	0.840168	0.667708	0.503536	0.0806167	-2.09981	1.46807	-1.43098
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364016	0.334965	-0.132107	0.0534199	-2.62837	-0.558448	-0.0872502
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363718	0.334691	-0.131999	0.0533757	-2.62915	-0.564645	-0.0910562
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363621	0.334602	-0.131961	0.0533635	-2.6284	-0.564276	-0.0926774
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363927	0.334884	-0.132072	0.0534108	-2.62871	-0.559248	-0.0855224
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364574	0.335479	-0.132306	0.0535106	-2.62703	-0.550127	-0.0670763
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364328	0.335253	-0.132217	0.0534721	-2.62792	-0.552712	-0.0797394
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363921	0.334879	-0.132068	0.0534113	-2.62828	-0.561594	-0.0855485
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364131	0.335054	-0.132165	0.0535073	-2.64299	-0.238526	0.171867
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.36404	0.334969	-0.132133	0.0534946	-2.64502	-0.236396	0.173298
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363599	0.334584	-0.131947	0.0533651	-2.62626	-0.567209	-0.0900326
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363951	0.334888	-0.132095	0.0534897	-2.64282	-0.23536	0.180624
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363754	0.334707	-0.132023	0.05346	-2.64695	-0.232026	0.179398
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364064	0.335012	-0.132111	0.05344	-2.62608	-0.557717	-0.0871205
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363774	0.334746	-0.132006	0.0533965	-2.62786	-0.563692	-0.0916325
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364046	0.334977	-0.132127	0.0535023	-2.64491	-0.235641	0.174034
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364086	0.335032	-0.13212	0.0534456	-2.6282	-0.556401	-0.0847181
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364423	0.335343	-0.13224	0.0534989	-2.62664	-0.550924	-0.0756915
204	1	0.831382	0.660635	0.49839	0.0797823	3.09026	-0.229697	0.28207
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363566	0.334556	-0.131927	0.0533702	-2.62771	-0.565489	-0.0910546
204	0	0.828014	0.657965	0.496362	0.0794637	3.0881	-0.235271	0.286915
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363996	0.334949	-0.132086	0.0534338	-2.62721	-0.555651	-0.0859331
204	0	0.828919	0.658694	0.496897	0.0795149	3.0906	-0.2333	0.282285
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364119	0.335063	-0.132131	0.0534521	-2.62861	-0.555508	-0.0819758
204	0	0.827368	0.657465	0.495962	0.0793678	3.0865	-0.235689	0.283655
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363478	0.334474	-0.131898	0.0533558	-2.62921	-0.56546	-0.0962598
204	0	0.834145	0.662887	0.499976	0.0800203	-2.08051	1.46796	-1.46273
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364097	0.335043	-0.132121	0.0534508	-2.62781	-0.55645	-0.080964
204	0	0.835073	0.663615	0.500545	0.0801053	-2.10552	1.46494	-1.43829
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364238	0.335173	-0.132171	0.0534736	-2.62505	-0.553596	-0.0777818
204	0	0.834967	0.663534	0.500483	0.0800586	-2.10395	1.46035	-1.44297
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363727	0.334703	-0.131987	0.0533934	-2.62791	-0.562134	-0.0914777
204	0	0.835108	0.663648	0.500563	0.0800819	-2.09942	1.45799	-1.44639
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363682	0.334662	-0.131968	0.053391	-2.63201	-0.563161	-0.0965969
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.364056	0.335007	-0.132099	0.0534447	-2.63123	-0.558504	-0.0860294
204	1	0.834412	0.663077	0.500159	0.0800749	3.08341	-0.237334	0.283037
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.36445	0.335369	-0.132243	0.0535048	-2.62924	-0.549573	-0.0801964
204	0	0.835344	0.663853	0.500674	0.0801472	-2.01268	1.46809	-1.53422
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
208	0	0.363802	0.334774	-0.132007	0.0534081	-2.62953	-0.565176	-0.0882996
204	0	0.83449	0.66317	0.500169	0.0800662	-2.02946	1.46856	-1.51931
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
