frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
0	100	0	4.32381	4.23441	0.718217	0.499256	0.0243606	0.100792	0.0827502
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
1	100	0	4.31289	4.22357	0.716745	0.498798	0.102422	-0.426934	0.185897
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2	100	0	4.31367	4.22397	0.718516	0.499521	0.0276431	0.101766	0.134771
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
3	100	0	4.30867	4.21881	0.718405	0.500188	0.0280899	0.094373	0.160706
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
4	100	0	4.30234	4.2124	0.717802	0.50055	0.033579	0.0962585	0.165099
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
5	100	0	4.30372	4.21357	0.718325	0.501896	0.0344712	0.0886175	0.167875
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
6	100	0	4.30972	4.21931	0.719504	0.503388	0.0337402	0.0750487	0.184985
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
7	100	0	4.30845	4.21794	0.719416	0.504187	0.0379571	0.0704661	0.190142
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
8	100	0	4.30647	4.21596	0.719187	0.504097	0.0392216	0.0631807	0.21983
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
9	100	0	4.29314	4.20284	0.717471	0.502422	0.0392328	0.0799513	0.250694
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
10	100	0	4.28387	4.19365	0.716803	0.500977	0.0405381	0.0847465	0.284984
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
11	100	0	4.28427	4.19386	0.718256	0.500606	0.0390404	0.0930196	0.311687
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
12	100	0	4.29139	4.20067	0.720708	0.500918	0.0379611	0.101269	0.332734
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
13	100	0	4.29549	4.20449	0.722885	0.501007	0.038875	0.118565	0.348413
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
14	100	0	4.28796	4.19685	0.723165	0.500081	0.0367943	0.128946	0.367033
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
15	100	0	4.30094	4.20924	0.726522	0.502582	0.0263234	0.13362	0.39042
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
